"ID_Pensionado","COD_TIPO_PENSION","FEC_NAC","Edad","SEXO","MONTO","Rige de la Pensión"
"I00312","Invalidez",1966-03-27,57,"F",851529.714,2019-09-02
"I00322","Invalidez",1967-03-16,56,"M",842707.929,2020-08-27
"I00339","Invalidez",1974-09-07,49,"F",836436.72,2023-07-01
"I00665","Invalidez",1962-08-07,61,"F",733189.002,2019-02-05
"I00940","Invalidez",1966-10-12,57,"M",671614.2405,2021-11-12
"I00947","Invalidez",1955-08-27,68,"F",670361.013,2019-03-03
"I00970","Invalidez",1962-02-20,61,"M",664974.807,2018-10-25
"I00976","Invalidez",1971-07-02,52,"M",664359.612,2019-05-31
"I01408","Invalidez",1971-07-01,52,"F",579301.464,2021-06-28
"I01410","Invalidez",1986-05-07,37,"F",579040.035,2021-07-29
"I01482","Invalidez",1977-06-12,46,"F",563918.817,2022-12-29
"I01492","Invalidez",1965-06-23,58,"M",561081.129,2016-03-02
"I01497","Invalidez",1962-05-01,61,"M",560262.255,2012-11-23
"I01508","Invalidez",1983-02-19,40,"F",557620.728,2020-12-05
"I01536","Invalidez",1962-09-19,61,"F",550613.784,2014-11-26
"I01552","Invalidez",1969-08-25,54,"M",546315.714,2023-04-10
"I01561","Invalidez",1966-05-12,57,"F",544283.229,2020-08-06
"I01631","Invalidez",1967-05-08,56,"M",528697.197,2022-01-10
"I01655","Invalidez",1965-03-17,58,"M",521818.647,2009-12-06
"I01679","Invalidez",1963-06-24,60,"F",516418.56,2016-06-21
"I01680","Invalidez",1979-07-17,44,"F",516413.814,2018-02-05
"I01735","Invalidez",1960-06-16,63,"M",503119.386,2011-03-25
"I01788","Invalidez",1964-06-11,59,"F",488277.72,2013-06-15
"I01912","Invalidez",1966-05-14,57,"F",447684.825,2016-06-22
"I01977","Invalidez",1967-06-05,56,"M",426778.359,2017-02-16
"I02016","Invalidez",1969-11-02,54,"F",416415.657,2010-09-17
"I02017","Invalidez",1984-06-21,39,"M",416133.564,2016-11-30
"I02027","Invalidez",1960-07-01,63,"M",413246.463,2013-05-03
"I02175","Invalidez",1965-07-30,58,"F",370554.723,2011-08-13
"I02190","Invalidez",1970-07-11,53,"F",365921.766,2020-08-07
"I02208","Invalidez",1961-02-05,62,"F",360781.218,2008-10-24
"I02374","Invalidez",1978-04-01,45,"F",315399.756,2014-09-09
"I02397","Invalidez",1966-06-05,57,"F",307489.854,2019-08-18
"I02481","Invalidez",1954-02-22,69,"M",294917.952,2020-12-11
"I02770","Invalidez",1963-08-14,60,"F",256730.502,2005-09-17
"I02827","Invalidez",1968-09-07,55,"M",248821.65,2017-08-30
"I02862","Invalidez",1959-04-01,64,"M",245070.84,2020-12-14
"I02865","Invalidez",1969-02-17,54,"M",244480.173,2022-01-02
"I02954","Invalidez",1963-02-24,60,"F",235678.212,2020-12-02
"I02964","Invalidez",1965-04-09,58,"F",234726.408,2012-01-16
"I03013","Invalidez",1959-09-19,64,"F",230545.896,2018-05-30
"I03222","Invalidez",1967-07-23,56,"M",211021.44,2009-03-30
"I03259","Invalidez",1989-03-15,34,"F",205283.253,2021-04-30
"I03262","Invalidez",1974-10-17,49,"F",204306.081,2020-12-04
"I03270","Invalidez",1964-01-04,59,"F",203323.617,2005-11-17
"I03285","Invalidez",1961-11-26,62,"M",201774.594,2013-03-11
"I03326","Invalidez",1969-08-30,54,"F",194353.992,2015-03-01
"I03383","Invalidez",1966-03-06,57,"M",184832.571,2022-06-20
"I03392","Invalidez",1976-07-10,47,"M",183625.491,2014-08-15
"I03410","Invalidez",1961-05-05,62,"F",180325.446,2009-10-04
"I03439","Invalidez",1958-07-30,65,"M",174564.894,2009-06-16
"I03484","Invalidez",1941-08-27,82,"M",162963.003,2003-08-06
"I03597","Invalidez",1985-09-13,38,"F",141016.4385,2022-11-03
