"ID_Pensionado","COD_TIPO_PENSION","FEC_NAC","Edad","SEXO","MONTO","Rige de la Pensión"
"V00007","Vejez",1950-06-05,73,"M",1501034.451,2020-10-25
"V00020","Vejez",1954-04-14,69,"M",1254804.999,2021-06-04
"V00039","Vejez",1950-12-08,73,"F",1122204.993,2018-08-07
"V00044","Vejez",1950-12-04,73,"F",1105524.672,2016-06-30
"V00057","Vejez",1954-08-31,69,"F",1060860.465,2022-02-07
"V00063","Vejez",1957-12-08,66,"F",1050730.212,2020-11-16
"V00085","Vejez",1959-09-12,64,"M",1024908.822,2021-10-19
"V00102","Vejez",1959-01-20,64,"M",1009541.862,2021-04-10
"V00105","Vejez",1951-06-06,72,"F",1005401.754,2019-12-13
"V00107","Vejez",1952-09-09,71,"M",1001545.125,2021-12-26
"V00110","Vejez",1952-12-24,71,"M",1000644.897,2018-11-15
"V00119","Vejez",1951-11-17,72,"M",988669.71,2018-07-08
"V00149","Vejez",1960-03-14,63,"F",960193.521,2022-09-14
"V00150","Vejez",1955-03-26,68,"M",959035.644,2021-03-24
"V00176","Vejez",1959-01-08,64,"F",936570.81,2023-08-23
"V00183","Vejez",1961-11-02,62,"M",931778.4,2023-09-15
"V00184","Vejez",1957-05-30,66,"M",931110.621,2022-07-27
"V00189","Vejez",1957-11-13,66,"F",924368.361,2021-02-28
"V00193","Vejez",1956-01-16,67,"M",922254.459,2021-08-06
"V00194","Vejez",1956-11-18,67,"M",922176.486,2020-05-27
"V00196","Vejez",1952-03-28,71,"F",921284.532,2017-08-18
"V00202","Vejez",1958-12-08,65,"M",918079.113,2021-11-13
"V00206","Vejez",1952-12-11,71,"F",916221.537,2020-03-26
"V00208","Vejez",1960-07-19,63,"F",913656.786,2022-12-30
"V00225","Vejez",1961-08-05,62,"M",903929.544,2022-11-26
"V00228","Vejez",1954-07-21,69,"F",900435.396,2020-02-14
"V00231","Vejez",1960-11-08,63,"M",899445.624,2023-05-18
"V00233","Vejez",1958-09-11,65,"M",897743.532,2021-01-26
"V00239","Vejez",1962-01-20,61,"M",895412.994,2020-11-06
"V00246","Vejez",1952-10-13,71,"M",891741.102,2019-11-16
"V00250","Vejez",1960-06-24,63,"F",887459.034,2021-12-21
"V00263","Vejez",1958-11-11,65,"F",879323.025,2020-06-23
"V00272","Vejez",1957-10-11,66,"M",874213.977,2022-06-13
"V00275","Vejez",1961-01-20,62,"F",872389.203,2021-06-29
"V00282","Vejez",1954-06-17,69,"F",869018.472,2019-09-08
"V00286","Vejez",1953-11-06,70,"F",865653.999,2021-07-05
"V00288","Vejez",1956-07-27,67,"M",865096.029,2020-09-10
"V00298","Vejez",1962-04-19,61,"M",859426.428,2023-05-02
"V00301","Vejez",1955-07-24,68,"F",858679.479,2019-11-03
"V00328","Vejez",1953-07-07,70,"F",839125.329,2018-04-30
"V00355","Vejez",1960-05-14,63,"M",831172.272,2021-09-03
"V00368","Vejez",1959-01-18,64,"F",826442.421,2022-02-14
"V00383","Vejez",1953-07-08,70,"F",821139.333,2021-02-19
"V00384","Vejez",1956-07-07,67,"F",820842.477,2020-07-19
"V00412","Vejez",1957-10-16,66,"F",804871.074,2019-11-13
"V00415","Vejez",1957-05-17,66,"M",804116.754,2015-07-14
"V00417","Vejez",1959-08-21,64,"M",802110.4245,2021-05-20
"V00427","Vejez",1962-05-06,61,"F",798365.085,2023-01-11
"V00428","Vejez",1957-09-14,66,"F",798149.541,2022-11-10
"V00429","Vejez",1964-05-20,59,"F",796557.678,2021-08-16
"V00441","Vejez",1955-02-21,68,"M",794213.91,2022-11-02
"V00442","Vejez",1960-04-29,63,"M",793454.781,2023-06-28
"V00445","Vejez",1955-10-17,68,"M",792998.913,2020-04-10
"V00450","Vejez",1957-08-05,66,"F",791450.478,2023-03-25
"V00453","Vejez",1954-09-30,69,"M",791047.614,2019-02-15
"V00455","Vejez",1957-08-13,66,"F",790133.064,2020-07-23
"V00474","Vejez",1954-06-01,69,"F",783939.345,2020-11-29
"V00476","Vejez",1952-01-09,71,"M",783059.907,2020-08-30
"V00481","Vejez",1957-02-08,66,"F",781743.144,2020-03-01
"V00509","Vejez",1960-10-12,63,"F",774172.581,2023-01-19
"V00520","Vejez",1950-10-17,73,"F",769439.475,2015-11-12
"V00521","Vejez",1950-10-21,73,"M",769346.046,2016-06-14
"V00524","Vejez",1958-04-14,65,"M",768427.989,2019-04-28
"V00529","Vejez",1955-11-24,68,"F",766791.228,2019-10-25
"V00532","Vejez",1957-11-07,66,"M",765477.153,2021-09-20
"V00557","Vejez",1955-11-22,68,"M",759488.961,2020-11-08
"V00600","Vejez",1956-09-17,67,"M",749687.568,2020-05-16
"V00621","Vejez",1955-04-14,68,"F",744963.135,2020-07-16
"V00637","Vejez",1958-08-09,65,"F",741151.11,2015-08-05
"V00653","Vejez",1960-07-30,63,"F",736637.181,2022-10-03
"V00668","Vejez",1955-12-25,68,"M",732715.998,2019-10-26
"V00679","Vejez",1958-10-11,65,"F",731259.564,2022-07-24
"V00682","Vejez",1951-12-31,72,"M",730456.335,2016-09-04
"V00691","Vejez",1961-11-04,62,"F",728618.919,2021-02-05
"V00699","Vejez",1955-10-25,68,"F",726841.563,2021-10-07
"V00707","Vejez",1951-12-20,72,"M",724183.425,2016-12-31
"V00726","Vejez",1961-08-17,62,"F",720811.665,2023-01-26
"V00737","Vejez",1960-07-19,63,"M",718582.872,2022-05-09
"V00757","Vejez",1956-04-08,67,"F",714272.832,2022-10-18
"V00782","Vejez",1957-02-10,66,"M",707564.865,2022-05-18
"V00783","Vejez",1959-06-16,64,"M",707441.574,2023-05-21
"V00796","Vejez",1947-11-21,76,"F",705218.577,2019-03-10
"V00822","Vejez",1953-12-21,70,"F",698526.339,2021-02-13
"V00843","Vejez",1960-09-24,63,"F",694287.636,2022-05-29
"V00849","Vejez",1958-12-11,65,"F",693737.709,2022-09-23
"V00850","Vejez",1957-06-29,66,"F",693595.896,2021-10-05
"V00856","Vejez",1964-11-24,59,"M",692469.603,2021-08-05
"V00863","Vejez",1959-11-15,64,"M",690429.873,2016-11-26
"V00881","Vejez",1950-07-19,73,"F",686752.689,2020-10-13
"V00885","Vejez",1958-01-07,65,"M",686619.759,2020-10-26
"V00910","Vejez",1957-02-04,66,"F",680876.532,2022-10-07
"V00924","Vejez",1956-09-07,67,"M",676818.135,2020-05-31
"V00938","Vejez",1957-09-29,66,"F",671698.713,2015-07-14
"V00960","Vejez",1955-03-16,68,"M",667842.21,2020-12-26
"V00979","Vejez",1959-12-15,64,"F",664049.085,2023-03-15
"V00991","Vejez",1952-07-28,71,"M",661854.333,2019-10-17
"V00997","Vejez",1957-03-11,66,"F",660952.215,2022-08-04
"V01015","Vejez",1956-05-02,67,"F",657169.254,2020-12-03
"V01050","Vejez",1957-11-19,66,"F",651161.805,2020-09-08
"V01079","Vejez",1949-12-17,74,"F",644111.727,2016-01-27
"V01081","Vejez",1958-11-03,65,"F",643836.27,2021-05-01
"V01085","Vejez",1956-01-13,67,"F",642485.907,2020-09-22
"V01097","Vejez",1964-06-04,59,"F",640187.037,2021-05-04
"V01107","Vejez",1956-11-04,67,"F",638263.668,2021-11-03
"V01112","Vejez",1956-05-05,67,"M",637461.783,2021-01-02
"V01115","Vejez",1956-04-02,67,"F",637122.087,2021-08-05
"V01118","Vejez",1956-08-02,67,"M",636273.498,2021-01-06
"V01126","Vejez",1959-08-13,64,"F",633855.936,2021-12-15
"V01130","Vejez",1958-07-15,65,"F",632898.63,2022-03-14
"V01141","Vejez",1959-02-24,64,"F",630938.532,2017-09-20
"V01177","Vejez",1956-12-12,67,"F",621754.014,2022-03-04
"V01182","Vejez",1956-01-12,67,"M",621284.832,2020-08-04
"V01184","Vejez",1959-06-18,64,"F",620777.472,2022-03-14
"V01190","Vejez",1957-03-06,66,"F",620289.663,2020-01-18
"V01191","Vejez",1958-05-16,65,"M",620256.462,2020-08-18
"V01192","Vejez",1962-06-05,61,"F",620122.923,2020-07-18
"V01201","Vejez",1959-02-26,64,"F",619232.397,2022-05-14
"V01232","Vejez",1956-11-28,67,"M",612306.198,2021-08-25
"V01239","Vejez",1955-10-21,68,"M",611526.993,2022-02-21
"V01259","Vejez",1955-04-29,68,"M",607861.674,2020-12-08
"V01270","Vejez",1955-05-02,68,"M",606047.274,2019-04-17
"V01279","Vejez",1953-09-26,70,"F",605038.665,2021-10-15
"V01291","Vejez",1955-09-11,68,"M",602901.474,2020-11-29
"V01297","Vejez",1956-12-04,67,"M",601667.052,2022-11-30
"V01310","Vejez",1953-08-28,70,"F",598579.254,2019-02-03
"V01312","Vejez",1959-04-04,64,"F",598291.323,2021-01-07
"V01371","Vejez",1964-06-04,59,"F",588340.242,2020-09-06
"V01372","Vejez",1958-11-05,65,"M",588234.822,2022-05-02
"V01397","Vejez",1964-05-02,59,"F",582799.392,2022-08-16
"V01398","Vejez",1951-09-27,72,"F",582381.219,2016-11-11
"V01402","Vejez",1947-09-22,76,"M",581407.932,2015-09-20
"V01418","Vejez",1956-12-28,67,"F",578015.781,2021-08-05
"V01430","Vejez",1957-04-24,66,"F",575899.968,2022-06-09
"V01431","Vejez",1954-09-09,69,"F",575756.202,2019-09-27
"V01442","Vejez",1952-12-02,71,"M",573472.767,2019-12-12
"V01455","Vejez",1958-08-19,65,"F",570423.819,2019-07-15
"V01459","Vejez",1954-10-17,69,"F",569515.884,2019-11-23
"V01472","Vejez",1959-04-01,64,"M",566148.282,2022-11-06
"V01487","Vejez",1961-02-12,62,"M",562600.416,2022-07-05
"V01495","Vejez",1958-01-06,65,"F",560361.837,2017-11-23
"V01499","Vejez",1955-10-16,68,"F",558744.501,2020-06-20
"V01510","Vejez",1957-02-17,66,"F",557097.576,2021-02-19
"V01528","Vejez",1952-11-05,71,"M",551955.516,2019-07-03
"V01551","Vejez",1958-09-11,65,"M",546448.77,2023-03-28
"V01564","Vejez",1961-07-15,62,"M",543460.743,2022-08-14
"V01570","Vejez",1958-06-27,65,"F",541791.642,2021-01-18
"V01583","Vejez",1952-10-29,71,"M",540184.68,2019-05-17
"V01598","Vejez",1960-05-10,63,"M",535662.477,2021-03-04
"V01614","Vejez",1957-05-21,66,"F",532453.341,2023-06-01
"V01622","Vejez",1957-05-30,66,"M",530725.461,2022-04-08
"V01625","Vejez",1952-12-27,71,"M",529747.911,2017-10-15
"V01637","Vejez",1951-08-16,72,"M",526909.866,2017-10-04
"V01658","Vejez",1953-01-03,70,"M",520985.955,2016-11-11
"V01671","Vejez",1955-01-26,68,"F",518253.057,2020-08-15
"V01703","Vejez",1959-05-06,64,"F",510821.115,2021-12-04
"V01713","Vejez",1958-08-10,65,"M",509204.136,2021-03-30
"V01720","Vejez",1952-05-28,71,"M",507274.866,2019-08-29
"V01723","Vejez",1960-07-13,63,"M",506575.377,2022-06-11
"V01803","Vejez",1956-12-31,67,"F",481742.226,2018-12-25
"V01819","Vejez",1957-04-14,66,"M",477800.547,2021-02-11
"V01836","Vejez",1957-06-21,66,"M",473609.43,2022-04-28
"V01875","Vejez",1956-08-22,67,"F",460603.752,2021-09-25
"V01925","Vejez",1952-12-29,71,"F",444462.816,2015-12-13
"V01926","Vejez",1954-06-20,69,"M",444345.888,2019-06-03
"V01932","Vejez",1961-08-11,62,"F",441037.842,2019-06-11
"V01934","Vejez",1954-12-05,69,"F",440627.124,2020-10-18
"V02046","Vejez",1947-09-13,76,"F",405624.261,2016-12-30
"V02151","Vejez",1946-01-04,77,"M",378420.357,2013-05-13
"V02155","Vejez",1952-11-10,71,"M",376987.338,2017-08-20
"V02267","Vejez",1954-08-30,69,"M",345637.194,2020-01-22
"V02288","Vejez",1960-05-20,63,"F",340294.815,2023-06-07
"V02307","Vejez",1954-06-07,69,"M",334028.205,2019-11-02
"V02320","Vejez",1957-03-16,66,"F",330708.525,2021-06-25
"V02372","Vejez",1956-03-26,67,"F",315885.822,2020-07-27
"V02376","Vejez",1960-09-13,63,"F",314935.0365,2022-11-03
"V02399","Vejez",1956-08-29,67,"F",307295.478,2021-06-10
"V02401","Vejez",1958-06-28,65,"F",306804.54,2021-05-20
"V02402","Vejez",1936-07-19,87,"F",306636.708,2014-06-01
"V02411","Vejez",1960-03-29,63,"M",304854.7005,2023-02-28
"V02432","Vejez",1951-11-21,72,"F",301530.096,2021-07-01
"V02438","Vejez",1960-04-02,63,"F",301100.751,2022-08-28
"V02446","Vejez",1958-05-17,65,"M",299654.439,2023-07-10
"V02509","Vejez",1959-06-30,64,"M",290763.312,2021-03-13
"V02565","Vejez",1959-09-02,64,"M",283830.834,2021-09-26
"V02577","Vejez",1958-03-12,65,"M",281023.05,2022-08-21
"V02578","Vejez",1958-08-19,65,"M",280586.754,2021-01-15
"V02586","Vejez",1960-02-19,63,"M",279313.125,2022-04-01
"V02588","Vejez",1954-06-11,69,"M",278755.995,2020-08-12
"V02610","Vejez",1952-08-07,71,"M",275525.523,2019-08-12
"V02641","Vejez",1960-08-17,63,"F",271352.151,2022-02-22
"V02684","Vejez",1952-12-26,71,"M",266909.601,2021-03-07
"V02701","Vejez",1957-11-10,66,"M",265338.108,2021-04-27
"V02708","Vejez",1958-11-06,65,"F",264752.565,2021-04-18
"V02716","Vejez",1955-01-24,68,"M",263745.027,2017-10-22
"V02731","Vejez",1956-10-07,67,"M",262349.64,2019-04-12
"V02747","Vejez",1957-10-10,66,"M",260609.433,2023-02-17
"V02749","Vejez",1956-10-29,67,"F",260021.853,2019-11-20
"V02754","Vejez",1957-03-05,66,"M",258714.267,2020-04-21
"V02790","Vejez",1951-06-30,72,"M",253933.974,2016-05-29
"V02824","Vejez",1954-08-22,69,"M",249310.782,2018-05-08
"V02833","Vejez",1948-07-26,75,"F",248174.136,2017-10-25
"V02877","Vejez",1956-02-12,67,"F",243522.678,2020-04-21
"V02892","Vejez",1963-10-30,60,"M",241935.519,2021-04-16
"V02952","Vejez",1958-07-23,65,"M",235953.018,2022-11-20
"V02960","Vejez",1953-11-18,70,"M",235320.309,2019-06-14
"V02961","Vejez",1955-06-27,68,"M",235214.721,2020-05-09
"V02963","Vejez",1957-09-17,66,"M",234745.182,2022-05-20
"V02993","Vejez",1950-11-13,73,"F",232293.348,2016-04-27
"V02998","Vejez",1954-08-08,69,"M",232046.493,2019-10-20
"V03008","Vejez",1956-05-20,67,"F",231347.466,2019-09-20
"V03074","Vejez",1951-02-12,72,"F",225684.585,2017-07-14
